Student_ID,Average_Score
HS001,8.48
HS002,4.92
HS003,9.22
HS004,4.41
HS005,9.15
HS006,7.86
HS007,4.53
HS008,8.15
HS009,8.13
HS010,6.87
HS011,4.83
HS012,3.98
HS013,7.22
HS014,6.45
HS015,9.54
HS016,9.11
HS017,7.65
HS018,9.99
HS019,8.67
HS020,9.61
HS021,8.55
HS022,3.99
HS023,5.37
HS024,6.39
HS025,5.73
HS026,6.42
HS027,7.55
HS028,8.69
HS029,7.99
HS030,6.09
HS031,4.28
HS032,4.05
HS033,3.63
HS034,6.09
HS035,6.55
HS036,7.96
HS037,3.9
HS038,4.59
HS039,6.21
HS040,6.2
HS041,6.07
HS042,8.53
HS043,6.84
HS044,5.16
HS045,4.57
HS046,6.2
HS047,8.01
HS048,8.31
HS049,6.39
HS050,6.54
HS051,7.02
HS052,5.25
HS053,5.58
HS054,6.0
HS055,4.86
HS056,6.74
HS057,4.37
HS058,7.71
HS059,4.52
HS060,3.73
HS061,9.31
HS062,9.5
HS063,3.68
HS064,9.97
HS065,9.78
HS066,6.04
HS067,6.82
HS068,9.26
HS069,7.44
HS070,4.99
HS071,9.23
HS072,4.09
HS073,3.51
HS074,4.11
HS075,6.27
HS076,5.41
HS077,4.41
HS078,5.86
HS079,3.87
HS080,7.89
HS081,3.9
HS082,4.58
HS083,8.8
HS084,6.57
HS085,9.87
HS086,4.12
HS087,8.24
HS088,5.57
HS089,7.42
HS090,7.09
HS091,9.07
HS092,8.35
HS093,7.73
HS094,7.67
HS095,7.59
HS096,9.91
HS097,9.48
HS098,5.21
HS099,4.02
HS100,7.57
HS101,5.86
HS102,7.78
HS103,8.07
HS104,9.43
HS105,7.03
HS106,5.85
HS107,5.11
HS108,6.29
HS109,7.51
HS110,9.37
HS111,9.41
HS112,5.27
HS113,4.25
HS114,9.19
HS115,5.15
HS116,6.51
HS117,6.84
HS118,3.88
HS119,3.63
HS120,4.53
HS121,9.94
HS122,9.55
HS123,6.98
HS124,5.23
HS125,9.85
HS126,7.79
HS127,7.84
HS128,8.25
HS129,7.44
HS130,4.7
HS131,5.01
HS132,4.52
HS133,3.68
HS134,6.41
HS135,7.26
HS136,5.98
HS137,8.79
HS138,5.62
HS139,9.84
HS140,7.35
HS141,8.28
HS142,7.65
HS143,7.65
HS144,8.38
HS145,7.91
HS146,4.72
HS147,5.62
HS148,7.63
HS149,6.43
HS150,7.79
HS151,8.39
HS152,3.69
HS153,6.84
HS154,8.53
HS155,9.57
HS156,7.64
HS157,6.32
HS158,7.58
HS159,4.17
HS160,7.69
HS161,5.84
HS162,3.71
HS163,8.44
HS164,7.01
HS165,5.65
HS166,6.97
HS167,6.34
HS168,9.35
HS169,4.33
HS170,5.18
HS171,5.54
HS172,4.66
HS173,8.48
HS174,8.2
HS175,3.58
HS176,3.77
HS177,5.73
HS178,8.15
HS179,5.03
HS180,4.93
HS181,6.48
HS182,3.64
HS183,8.11
HS184,3.96
HS185,7.46
HS186,8.3
HS187,5.22
HS188,7.33
HS189,6.75
